CollectionYearRange,Parent_Org_Code,Parent_Org_Name,Parent_Org_ONS_Code,Org_Code,Org_Name,Org_ONS_Code,Expected_delivery_time,Indicator,Unit,Value,Data_Notes
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_LA,Number,28930,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_LA,%,99.2282627336649,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_REGION,%,99.4486072865918,
2013-14,A,North East,E12000001,00EJ,County Durham,E06000047,Within two weeks,Letters_sent_ENGLAND,%,93.689216557614,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_LA,Number,38,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_REGION,Number,120,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_ENGLAND,Number,31676,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_LA,%,0.21455592569589,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_REGION,%,0.07943232366024,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Over three weeks,Letters_sent_ENGLAND,%,1.01122705935835,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_LA,Number,27,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_REGION,Number,713,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_ENGLAND,Number,166005,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_LA,%,0.1524476314155,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_REGION,%,0.47196038974793,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Two to three weeks,Letters_sent_ENGLAND,%,5.29955638302763,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_LA,Number,17646,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_REGION,Number,150239,
2013-14,A,North East,E12000001,00EM,Northumberland,E06000057,Within two weeks,Letters_sent_ENGLAND,Number,2934751,
