Table_ref,Collection_Year,Unit,Indicator,Value
1a,2018,%,Coverage_<3.5yrs_65to69,19.670603176332600000
1a,2018,%,Coverage_<3.5yrs_70to74,0.687666858321035000
1a,2018,%,Coverage_<3.5yrs_75_and_over,0.097876579795641800
1a,2018,%,Coverage_<3.5yrs_<20,0.003683237888768040
1a,2018,%,Coverage_<5yrs_20to24,2.187890485975630000
1a,2018,%,Coverage_<5yrs_25to29,64.229452221120900000
1a,2018,%,Coverage_<5yrs_25to64,74.804413282644400000
1a,2018,%,Coverage_<5yrs_30to34,75.802810711008400000
1a,2018,%,Coverage_<5yrs_35to39,78.099368064299800000
1a,2018,%,Coverage_<5yrs_40to44,79.645757994585100000
1a,2018,%,Coverage_<5yrs_45to49,80.086850849651500000
1a,2018,%,Coverage_<5yrs_50to54,78.608120075459800000
1a,2018,%,Coverage_<5yrs_50to64,73.786985177058700000
1a,2018,%,Coverage_<5yrs_55to59,72.265437134677100000
1a,2018,%,Coverage_<5yrs_60to64,68.778973012331300000
1a,2018,%,Coverage_<5yrs_65to69,32.571028264899800000
1a,2018,%,Coverage_<5yrs_70to74,1.561189624296400000
1a,2018,%,Coverage_<5yrs_75_and_over,0.211444703413716000
1a,2018,%,Coverage_<5yrs_<20,0.003744117853871650
1a,2019,%,Coverage_<3.5yrs_20to24,2.361872300669390000
1a,2019,%,Coverage_<3.5yrs_25to29,61.918591541258700000
1a,2019,%,Coverage_<3.5yrs_25to49,69.873198101178300000
1a,2019,%,Coverage_<3.5yrs_25to64,65.504321246713800000
1a,2019,%,Coverage_<3.5yrs_30to34,69.390622791806800000
1a,2019,%,Coverage_<3.5yrs_35to39,71.619627586576000000
1a,2019,%,Coverage_<3.5yrs_40to44,73.543531832808700000
1a,2019,%,Coverage_<3.5yrs_45to49,74.068639665313300000
1a,2019,%,Coverage_<3.5yrs_50to54,67.900329234908300000
1a,2019,%,Coverage_<3.5yrs_55to59,50.589555801060700000
1a,2019,%,Coverage_<3.5yrs_60to64,48.032222372346600000
1a,2019,%,Coverage_<3.5yrs_65to69,20.004797943835200000
1a,2019,%,Coverage_<3.5yrs_70to74,0.599997342792990000
1a,2019,%,Coverage_<3.5yrs_75_and_over,0.080728531963877800
1a,2019,%,Coverage_<3.5yrs_<20,0.002461493854948550
1a,2019,%,Coverage_<5yrs_20to24,2.439280240512360000
1a,2019,%,Coverage_<5yrs_25to29,64.658759471745100000
1a,2019,%,Coverage_<5yrs_25to64,74.813325535146600000
1a,2019,%,Coverage_<5yrs_30to34,75.620739238598200000
1a,2019,%,Coverage_<5yrs_35to39,77.945055449155400000
1a,2019,%,Coverage_<5yrs_40to44,79.567514557962800000
1a,2019,%,Coverage_<5yrs_45to49,80.053121878801700000
1a,2019,%,Coverage_<5yrs_50to54,78.408785180765100000
1a,2019,%,Coverage_<5yrs_50to64,73.816100376080900000
1a,2019,%,Coverage_<5yrs_55to59,72.613627735520700000
1a,2019,%,Coverage_<5yrs_60to64,68.900006207846000000
1a,2019,%,Coverage_<5yrs_65to69,36.251517370930200000
1a,2019,%,Coverage_<5yrs_70to74,1.289453988246290000
1a,2019,%,Coverage_<5yrs_75_and_over,0.166440306641575000
1a,2019,%,Coverage_<5yrs_<20,0.002491696233536870
1a,2020,%,Coverage_<3.5yrs_20to24,1.810573717610950000
1a,2020,%,Coverage_<3.5yrs_25to29,61.799838649513800000
1a,2020,%,Coverage_<3.5yrs_25to49,70.229089282869900000
1a,2020,%,Coverage_<3.5yrs_25to64,65.782772108512800000
1a,2020,%,Coverage_<3.5yrs_30to34,69.681247416355700000
1a,2020,%,Coverage_<3.5yrs_35to39,72.061436472786600000
1a,2020,%,Coverage_<3.5yrs_40to44,74.117157161501100000
1a,2020,%,Coverage_<3.5yrs_45to49,74.710973656340300000
1a,2020,%,Coverage_<3.5yrs_50to54,68.916374232359900000
1a,2020,%,Coverage_<3.5yrs_55to59,50.621131744327500000
1a,2020,%,Coverage_<3.5yrs_60to64,47.937616989224300000
1a,2020,%,Coverage_<3.5yrs_65to69,18.486174818987500000
1a,2020,%,Coverage_<3.5yrs_70to74,0.547830557931102000
1a,2020,%,Coverage_<3.5yrs_75_and_over,0.073678090406355800
1a,2020,%,Coverage_<3.5yrs_<20,0.001606330202040310
1a,2020,%,Coverage_<5yrs_20to24,1.865012761560590000
1a,2020,%,Coverage_<5yrs_25to29,64.274792570572600000
1a,2020,%,Coverage_<5yrs_25to64,74.647282085119200000
1a,2020,%,Coverage_<5yrs_30to34,75.385363430430100000
1a,2020,%,Coverage_<5yrs_35to39,77.860781605231400000
1a,2020,%,Coverage_<5yrs_40to44,79.588065175239000000
1a,2020,%,Coverage_<5yrs_45to49,80.107944700383000000
1a,2020,%,Coverage_<5yrs_50to54,78.476469482391300000
1a,2020,%,Coverage_<5yrs_50to64,73.578115034947600000
1a,2020,%,Coverage_<5yrs_55to59,72.067948649632300000
1a,2020,%,Coverage_<5yrs_60to64,68.859084547023300000
1a,2020,%,Coverage_<5yrs_65to69,38.298192353486400000
1a,2020,%,Coverage_<5yrs_70to74,1.156125184110910000
1a,2020,%,Coverage_<5yrs_75_and_over,0.139120261341306000
1a,2020,%,Coverage_<5yrs_<20,0.001636355065629850
