Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_ONS_Code,Parent_Org_Name,Org_Code,Org_ONS_Code,Org_Name,Unit,Indicator,Value
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,%,Coverage_3andhalfyears__25-49,73.57461024498890000000
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,%,Coverage_5andhalfyears__50-64,72.99829642248720000000
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,%,Coverage_in_period__25-64,73.36619117577370000000
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,Number,Eligible__25-49,26940
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,Number,Eligible__25-64,42202
13,2018-19,B,E12000002,North West,00BX,E08000011,Knowsley,Number,Eligible__50-64,15262
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,%,Coverage_3andhalfyears__25-49,65.54687500000000000000
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,%,Coverage_5andhalfyears__50-64,69.73345412931530000000
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,%,Coverage_in_period__25-64,66.86893934831050000000
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,Number,Eligible__25-49,90880
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,Number,Eligible__25-64,132824
13,2018-19,B,E12000002,North West,00BY,E08000012,Liverpool,Number,Eligible__50-64,41944
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,%,Coverage_3andhalfyears__25-49,74.05660377358490000000
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,%,Coverage_5andhalfyears__50-64,75.45747461851780000000
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,%,Coverage_in_period__25-64,74.55613605324200000000
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,Number,Eligible__25-49,29680
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,Number,Eligible__25-64,46129
13,2018-19,B,E12000002,North West,00BZ,E08000013,St. Helens,Number,Eligible__50-64,16449
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,%,Coverage_3andhalfyears__25-49,73.00816749108480000000
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,%,Coverage_5andhalfyears__50-64,73.39175112612610000000
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,%,Coverage_in_period__25-64,73.15980579012530000000
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,Number,Eligible__25-49,43465
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,Number,Eligible__25-64,71881
13,2018-19,B,E12000002,North West,00CA,E08000014,Sefton,Number,Eligible__50-64,28416
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,%,Coverage_3andhalfyears__25-49,73.03476837137630000000
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,%,Coverage_5andhalfyears__50-64,73.59777665487620000000
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,%,Coverage_in_period__25-64,73.24806470524890000000
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,Number,Eligible__25-49,51915
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,Number,Eligible__25-64,83579
13,2018-19,B,E12000002,North West,00CB,E08000015,Wirral,Number,Eligible__50-64,31664
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,%,Coverage_3andhalfyears__25-49,75.21334304914580000000
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,%,Coverage_5andhalfyears__50-64,77.92517631020110000000
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,%,Coverage_in_period__25-64,76.24877374922420000000
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,Number,Eligible__25-49,61755
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,Number,Eligible__25-64,99898
13,2018-19,B,E12000002,North West,00EQ,E06000049,Cheshire East,Number,Eligible__50-64,38143
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,%,Coverage_3andhalfyears__25-49,72.84930388644510000000
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,%,Coverage_5andhalfyears__50-64,73.81482397559570000000
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,%,Coverage_in_period__25-64,73.19192510239910000000
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,Number,Eligible__25-49,22051
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,Number,Eligible__25-64,34180
13,2018-19,B,E12000002,North West,00ET,E06000006,Halton,Number,Eligible__50-64,12129
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,%,Coverage_3andhalfyears__25-49,75.08027554408980000000
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,%,Coverage_5andhalfyears__50-64,76.79769894535000000000
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,%,Coverage_in_period__25-64,75.68528460198390000000
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,Number,Eligible__25-49,36437
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,Number,Eligible__25-64,56254
13,2018-19,B,E12000002,North West,00EU,E06000007,Warrington,Number,Eligible__50-64,19817
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,%,Coverage_3andhalfyears__25-49,74.65593125611290000000
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,%,Coverage_5andhalfyears__50-64,77.60038269501000000000
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,%,Coverage_in_period__25-64,75.74170644851880000000
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,Number,Eligible__25-49,57256
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,Number,Eligible__25-64,90703
13,2018-19,B,E12000002,North West,00EW,E06000050,Cheshire West and Chester,Number,Eligible__50-64,33447
