Table_ref,Collection_Year,Parent_Org_Code,Parent_Org_Name,Org_Code,Org_Name,Unit,Indicator,Value
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R1,North East,60110,University Hospital of North Tees,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,Number,Total_samples_All_Ages,37765
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,0-2_Weeks_All_Ages,0.5719581623196080000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,3-4_Weeks_All_Ages,0.1456374950350850000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,5-6_Weeks_All_Ages,42.6506024096386000000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,7-8_Weeks_All_Ages,56.5947305706342000000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,9-10_Weeks_All_Ages,0.0317754534622004000
16a,2019-20,R8,South East,61350,Queen Alexandra Hospital,%,Over10_Weeks_All_Ages,0.0052959089103667400
16a,2019-20,R8,South East,61355,Poole Hospital,Number,Total_samples_All_Ages,27954
16a,2019-20,R8,South East,61355,Poole Hospital,%,0-2_Weeks_All_Ages,99.9069900550905000000
16a,2019-20,R8,South East,61355,Poole Hospital,%,3-4_Weeks_All_Ages,0.0751234170422838000
16a,2019-20,R8,South East,61355,Poole Hospital,%,5-6_Weeks_All_Ages,0.0143092222937683000
16a,2019-20,R8,South East,61355,Poole Hospital,%,7-8_Weeks_All_Ages,0.0035773055734420800
16a,2019-20,R8,South East,61355,Poole Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61355,Poole Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,Number,Total_samples_All_Ages,27753
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,0-2_Weeks_All_Ages,32.9585990703708000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,3-4_Weeks_All_Ages,17.6125103592404000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,5-6_Weeks_All_Ages,35.3943717796274000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,7-8_Weeks_All_Ages,14.0345187907614000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61370,Royal Hampshire County Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61390,Royal United Hospital,Number,Total_samples_All_Ages,30875
16a,2019-20,R10,South West,61390,Royal United Hospital,%,0-2_Weeks_All_Ages,6.4323886639676100000
16a,2019-20,R10,South West,61390,Royal United Hospital,%,3-4_Weeks_All_Ages,36.3886639676113000000
16a,2019-20,R10,South West,61390,Royal United Hospital,%,5-6_Weeks_All_Ages,57.0947368421053000000
16a,2019-20,R10,South West,61390,Royal United Hospital,%,7-8_Weeks_All_Ages,0.0842105263157895000
16a,2019-20,R10,South West,61390,Royal United Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61390,Royal United Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,Number,Total_samples_All_Ages,26461
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,0-2_Weeks_All_Ages,17.5994860360531000000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,3-4_Weeks_All_Ages,80.3559956161899000000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,5-6_Weeks_All_Ages,2.0445183477570800000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R8,South East,61440,John Radcliffe Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,Number,Total_samples_All_Ages,69807
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,0-2_Weeks_All_Ages,99.9971349578123000000
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,3-4_Weeks_All_Ages,0.0028650421877462100
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,5-6_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61565,Royal Devon and Exeter Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,Number,Total_samples_All_Ages,51835
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,0-2_Weeks_All_Ages,99.6951866499469000000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,3-4_Weeks_All_Ages,0.2893797627085950000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,5-6_Weeks_All_Ages,0.0135043889264011000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,9-10_Weeks_All_Ages,0.0019291984180573000
16a,2019-20,R10,South West,61580,Gloucestershire Royal Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61590,Southmead Hospital,Number,Total_samples_All_Ages,131503
16a,2019-20,R10,South West,61590,Southmead Hospital,%,0-2_Weeks_All_Ages,65.3315893933979000000
16a,2019-20,R10,South West,61590,Southmead Hospital,%,3-4_Weeks_All_Ages,22.6207767123183000000
16a,2019-20,R10,South West,61590,Southmead Hospital,%,5-6_Weeks_All_Ages,11.7928868542923000000
16a,2019-20,R10,South West,61590,Southmead Hospital,%,7-8_Weeks_All_Ages,0.2068393876945770000
16a,2019-20,R10,South West,61590,Southmead Hospital,%,9-10_Weeks_All_Ages,0.0235736066857790000
16a,2019-20,R10,South West,61590,Southmead Hospital,%,Over10_Weeks_All_Ages,0.0243340456111267000
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,Number,Total_samples_All_Ages,25957
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,0-2_Weeks_All_Ages,82.6058481334515000000
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,3-4_Weeks_All_Ages,17.3787417652271000000
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,5-6_Weeks_All_Ages,0.0115575759910621000
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,7-8_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,9-10_Weeks_All_Ages,0.0038525253303540500
16a,2019-20,R10,South West,61600,Musgrove Park Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,Number,Total_samples_All_Ages,52666
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,0-2_Weeks_All_Ages,40.4055747541108000000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,3-4_Weeks_All_Ages,52.7968708464664000000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,5-6_Weeks_All_Ages,6.5545133482702300000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,7-8_Weeks_All_Ages,0.2430410511525460000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,9-10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,61920,Royal Liverpool University Hospital,%,Over10_Weeks_All_Ages,0.0000000000000000000
16a,2019-20,R2,North West,61930,Whiston Hospital,Number,Total_samples_All_Ages,22729
16a,2019-20,R2,North West,61930,Whiston Hospital,%,0-2_Weeks_All_Ages,99.3928461436931000000
16a,2019-20,R2,North West,61930,Whiston Hospital,%,3-4_Weeks_All_Ages,0.6071538563069210000
16a,2019-20,R2,North West,61930,Whiston Hospital,%,5-6_Weeks_All_Ages,0.0000000000000000000
